Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
67	1000.0	0.0	1000.0	1000.0	1000.0	100.00564	0.076951854	100.305664	99.38069	136000	1.2516975e-09	0.0061299927	-0.0061940425	-0.00026084157	0.23891857	0.005680208	0.0255	79.0	122.36305260658264
68	1000.0	0.0	1000.0	1000.0	1000.0	99.996544	0.089284845	100.283516	98.406975	138000	-6.496906e-09	0.008596852	-0.008477416	-0.0016626841	0.21449704	0.0044962256	0.0365	79.0	124.2677743434906
69	1000.0	0.0	1000.0	1000.0	1000.0	100.00623	0.07818888	100.35558	99.3194	140000	4.6491624e-09	0.0064519034	-0.0056674164	-0.000488841	0.17965978	0.0058541168	0.0375	79.0	126.10445261001587
70	1000.0	0.0	1000.0	1000.0	1000.0	100.006	0.06947327	100.29739	99.60714	142000	7.390976e-09	0.0052474868	-0.008201516	-0.00017999392	0.1559745	0.004686173	0.079	79.0	127.9890079498291
71	1000.0	0.0	1000.0	1000.0	1000.0	100.00753	0.067512564	100.24374	99.53926	144000	1.9371509e-09	0.004783663	-0.008221499	-0.00022043334	0.14561567	0.0025026165	0.0595	79.0	129.84294390678406
72	1000.0	0.0	1000.0	1000.0	1000.0	100.00329	0.066440396	100.27014	99.35051	146000	2.6226044e-09	0.0048124064	-0.0066493596	-0.000212315	0.12013817	0.0028422817	0.047	79.0	131.76331615447998
73	1000.0	0.0	1000.0	1000.0	1000.0	100.01266	0.066174746	100.30859	99.382645	148000	6.109476e-09	0.0045842784	-0.006575762	-0.00030043582	0.11347913	0.0042284927	0.0335	79.0	133.62925004959106
74	1000.0	0.0	1000.0	1000.0	1000.0	100.00358	0.062196717	100.304634	99.60234	150000	9.343028e-09	0.0040087965	-0.005399317	-0.00021414482	0.11343333	0.0051135756	0.03	79.0	135.45810723304749
75	1000.0	0.0	1000.0	1000.0	1000.0	99.99539	0.065060094	100.20362	98.890724	152000	-9.0897085e-09	0.0042901854	-0.0086289495	-0.00029185368	0.101764694	0.0048544235	0.051	79.0	137.31751680374146
76	1000.0	0.0	1000.0	1000.0	1000.0	99.99879	0.06241454	100.30311	99.37415	154000	-1.0997057e-08	0.0040000537	-0.007189639	-0.00017533754	0.0709138	0.0048063104	0.03	79.0	139.16650462150574
77	1000.0	0.0	1000.0	1000.0	1000.0	100.00478	0.06168237	100.29214	99.55492	156000	-2.0693987e-08	0.003886182	-0.007491948	-0.00023558317	0.054183416	0.002037728	0.0245	79.0	140.98142385482788
78	1000.0	0.0	1000.0	1000.0	1000.0	99.998566	0.059654146	100.22648	99.383354	158000	-5.3569673e-09	0.0035673145	-0.008304701	-0.000117568765	0.02921118	0.004498958	0.0415	79.0	142.84730410575867
79	1000.0	0.0	1000.0	1000.0	1000.0	100.00377	0.054248348	100.257	99.69092	160000	-1.5825034e-08	0.002967318	-0.005875155	-0.000111692585	-0.009554264	-0.00014963078	0.0155	79.0	144.682053565979
80	1000.0	0.0	1000.0	1000.0	1000.0	99.99854	0.05260547	100.20731	99.73296	162000	-1.180172e-08	0.0031604948	-0.0074449936	-9.789434e-05	-0.021875013	0.0040612407	0.0335	79.0	146.5612964630127
81	1000.0	0.0	1000.0	1000.0	1000.0	99.99866	0.055176705	100.23849	99.37476	164000	1.3411045e-08	0.003204885	0.0009818281	-8.036033e-05	-0.017791038	0.017766496	0.216	2.0	148.07579469680786
82	1000.0	0.0	1000.0	1000.0	1000.0	99.994156	0.050907772	100.20653	99.70292	166000	1.8622726e-08	0.0026273502	-0.00440475	-0.0002224592	-0.017687568	0.0043456596	0.022	79.0	149.9039785861969
83	1000.0	0.0	1000.0	1000.0	1000.0	99.99964	0.058813382	100.19884	98.89095	168000	1.6689301e-09	0.0034726271	-0.0071129063	-0.0004294212	-0.026663909	0.0018690027	0.026	79.0	151.77623891830444
